timestamp_s,m1_c,m2_c,m3_c,m4_c,m5_c,m6_c,m7_c,m8_c,m9_c,m10_c,m11_c,m12_c
1775548890.6353,42,44,43,42,42,41,43,44,42,43,43,43
1775548890.8359,42,44,43,42,42,41,43,44,42,43,43,43
1775548891.0367,42,44,43,42,42,41,43,44,42,43,43,43
1775548891.2370,42,44,43,42,42,41,43,44,42,43,43,43
1775548891.4372,42,44,43,42,42,41,43,44,42,43,43,43
1775548891.6378,42,44,43,42,42,41,43,44,42,43,43,43
1775548891.8381,42,44,43,42,42,41,43,44,42,43,43,43
1775548892.0383,42,44,43,42,42,41,43,44,42,43,43,43
1775548892.2387,42,44,43,42,42,41,43,44,42,43,43,43
1775548892.4394,42,44,43,42,42,41,43,44,43,43,43,43
1775548892.6396,42,44,43,42,42,41,43,44,42,43,43,43
1775548892.8399,42,44,43,42,42,41,43,44,42,43,43,43
1775548893.0402,42,44,43,42,42,41,43,44,42,43,43,43
1775548893.2406,42,44,43,42,42,41,43,44,42,43,43,43
1775548893.4426,42,44,43,42,42,41,43,44,43,43,43,43
1775548893.6431,42,44,43,42,42,41,43,44,42,43,43,43
1775548893.8435,42,44,43,42,42,41,43,44,43,43,43,43
1775548894.0438,42,44,43,42,42,41,43,44,42,43,43,43
1775548894.2441,42,44,43,42,42,41,43,44,42,43,43,43
1775548894.4448,42,44,43,42,42,41,43,44,43,43,43,43
1775548894.6454,42,44,43,42,42,41,43,44,42,43,43,43
1775548894.8457,42,44,43,42,42,41,43,44,42,43,43,43
1775548895.0462,42,44,43,42,42,41,43,44,43,43,43,43
1775548895.2467,42,44,43,42,42,41,43,44,42,43,43,43
1775548895.4469,42,44,43,42,42,41,43,44,42,43,43,43
1775548895.6477,42,44,43,42,42,41,43,44,43,43,43,43
1775548895.8482,42,44,43,42,42,41,43,44,42,43,43,43
1775548896.0485,42,44,43,42,42,41,43,44,42,43,43,43
1775548896.2487,42,44,43,42,42,41,43,44,43,43,43,43
1775548896.4490,42,44,43,42,42,41,43,44,42,43,43,43
1775548896.6492,42,44,43,42,42,41,43,44,42,43,43,43
1775548896.8495,42,44,43,42,42,41,43,44,42,43,43,43
1775548897.0499,42,44,43,42,42,41,43,44,43,43,43,43
1775548897.2501,42,44,43,42,42,41,43,44,42,43,43,43
1775548897.4503,42,44,43,42,42,41,43,44,42,43,43,43
1775548897.6506,42,44,43,42,42,41,43,44,42,43,43,43
1775548897.8509,42,44,43,42,42,41,43,44,42,43,43,43
1775548898.0513,42,44,43,42,42,41,43,44,43,43,43,43
1775548898.2516,42,44,43,42,42,41,43,44,42,43,43,43
1775548898.4521,42,44,43,42,42,41,43,44,42,43,43,43
1775548898.6523,42,44,43,42,42,41,43,44,42,43,43,43
1775548898.8527,42,44,43,42,42,41,43,44,42,43,43,43
1775548899.0530,42,44,43,42,42,41,43,44,42,43,43,43
1775548899.2534,42,44,43,42,42,41,43,44,43,43,43,43
1775548899.4541,42,44,43,42,42,41,43,44,42,43,43,43
1775548899.6545,42,44,43,42,42,41,43,44,42,43,43,43
1775548899.8552,42,44,43,42,42,41,43,44,42,43,43,43
1775548900.0556,42,44,43,42,42,41,43,44,42,43,43,43
1775548900.2561,42,44,43,42,42,41,43,44,42,43,43,43
1775548900.4564,42,44,43,42,42,41,43,44,42,43,43,43
1775548900.6574,42,44,43,42,42,41,43,44,42,43,43,43
1775548900.8580,42,44,43,42,42,41,43,44,42,43,43,43
1775548901.0583,42,44,43,42,42,41,43,44,42,43,43,43
1775548901.2591,42,44,43,42,42,41,43,44,42,43,43,43
1775548901.4597,42,44,43,42,42,41,43,44,42,43,43,43
1775548901.6603,42,44,43,42,42,41,43,44,43,43,43,43
1775548901.8605,42,44,43,42,42,41,43,44,42,43,43,43
1775548902.0608,42,44,43,42,42,41,43,44,42,43,43,43
1775548902.2611,42,44,43,42,42,41,43,44,42,43,43,43
1775548902.4614,42,44,43,42,42,41,43,44,42,43,43,43
1775548902.6619,42,44,43,42,42,41,43,44,43,43,43,43
