timestamp_s,m1_a,m2_a,m3_a,m4_a,m5_a,m6_a,m7_a,m8_a,m9_a,m10_a,m11_a,m12_a
1777925268.4451,1.67,2.3,0.97,3.04,2.99,0.7,1.46,0.7,-0.31,2.45,2.39,0.0
1777925268.6455,1.55,2.26,1.14,3.12,2.98,0.86,1.46,0.69,-0.3,2.47,2.38,0.0
1777925268.8456,1.6,2.43,0.99,3.13,2.9,0.78,1.45,0.68,-0.31,2.44,2.5,-0.06
1777925269.0459,1.55,2.52,1.28,3.13,3.0,0.84,1.44,0.69,-0.21,2.49,2.38,-0.06
1777925269.2461,1.69,2.37,1.07,3.08,3.06,0.68,1.47,0.66,-0.27,2.49,2.36,-0.04
1777925269.4464,1.56,2.49,1.17,3.08,2.93,0.79,1.49,0.68,-0.22,2.45,2.35,-0.04
1777925269.6469,1.52,2.52,1.05,3.06,3.01,0.89,1.44,0.7,-0.24,2.47,2.33,-0.03
1777925269.8474,1.49,2.4,1.12,3.07,3.11,0.82,1.51,0.68,-0.31,2.53,2.41,-0.04
1777925270.0477,1.41,2.34,1.23,3.09,3.04,0.85,1.4,0.68,-0.21,2.51,2.45,-0.02
1777925270.2479,1.58,2.47,1.1,3.11,3.08,0.66,1.47,0.66,-0.3,2.5,2.45,-0.03
1777925270.4484,1.6,2.45,1.04,3.09,3.01,0.82,1.44,0.67,-0.3,2.51,2.52,-0.01
1777925270.6486,1.56,2.39,0.94,3.06,3.06,0.81,1.43,0.68,-0.23,2.47,2.4,-0.05
1777925270.8488,1.61,2.43,0.94,3.08,2.97,0.79,1.47,0.68,-0.26,2.52,2.39,0.02
1777925271.0491,1.56,2.42,1.06,3.08,3.07,0.79,1.5,0.68,-0.15,2.49,2.39,0.0
1777925271.2494,1.53,2.4,1.14,3.06,3.02,0.81,1.42,0.69,-0.21,2.53,2.36,-0.05
1777925271.4496,1.72,2.33,1.24,3.1,2.94,0.71,1.5,0.7,-0.29,2.46,2.37,-0.01
1777925271.6499,1.47,2.43,1.19,3.07,3.01,0.79,1.44,0.69,-0.29,2.48,2.49,-0.02
1777925271.8502,1.62,2.42,1.13,3.03,3.0,0.85,1.49,0.69,-0.28,2.49,2.39,-0.02
1777925272.0536,1.6,2.46,1.12,3.08,3.06,0.66,1.37,0.7,0.26,2.47,2.38,-0.03
1777925272.2539,1.55,2.42,1.04,3.18,2.93,0.66,1.41,0.67,-0.22,2.48,2.35,-0.01
1777925272.4541,1.69,2.44,1.13,3.13,3.03,0.69,1.51,0.68,-0.25,2.46,2.35,-0.05
1777925272.6544,1.61,2.54,1.14,3.09,3.03,0.73,1.45,0.69,-0.26,2.49,2.34,-0.03
1777925272.8547,1.57,2.38,0.99,3.05,2.95,0.82,1.47,0.68,-0.29,2.47,2.35,-0.05
1777925273.0550,1.6,2.43,1.08,3.07,3.01,0.74,1.4,0.67,-0.25,2.49,2.42,-0.03
1777925273.2552,1.45,2.38,1.13,3.03,3.0,0.85,1.38,0.66,-0.23,2.48,2.4,-0.04
1777925273.4560,1.44,2.44,1.09,3.09,3.03,0.83,1.51,0.69,-0.29,2.52,2.52,-0.03
1777925273.6564,1.58,2.45,1.08,3.16,3.06,0.77,1.43,0.66,-0.16,2.52,2.4,-0.03
1777925273.8566,1.6,2.45,1.13,3.09,3.01,0.76,1.47,0.68,-0.3,2.5,2.33,-0.01
1777925274.0569,1.47,2.47,1.05,3.08,3.11,0.76,1.46,0.67,-0.32,2.48,2.33,0.0
1777925274.2575,1.64,2.45,1.24,3.14,3.07,0.78,1.44,0.67,-0.24,2.5,2.34,-0.05
1777925274.4583,1.45,2.39,1.15,3.13,3.05,0.8,1.46,0.68,-0.24,2.5,2.34,-0.05
1777925274.6595,1.63,2.41,1.11,3.06,3.0,0.87,1.44,0.68,-0.31,2.48,2.38,-0.04
1777925274.8598,1.57,2.54,1.12,3.08,3.09,0.73,1.45,0.68,-0.33,2.51,2.27,-0.03
