timestamp_s,m1_c,m2_c,m3_c,m4_c,m5_c,m6_c,m7_c,m8_c,m9_c,m10_c,m11_c,m12_c
1777887594.3236,44,44,48,42,42,42,43,45,45,43,43,46
1777887594.5238,44,44,48,42,42,42,43,45,45,43,43,46
1777887594.7241,44,44,48,42,42,42,43,45,45,44,43,46
1777887594.9245,44,44,48,42,42,42,43,45,45,43,43,46
1777887595.1248,45,44,48,42,42,42,43,45,45,44,43,46
1777887595.3251,44,44,48,42,42,42,43,45,45,44,43,46
1777887595.5254,45,44,48,42,42,42,43,45,45,44,43,46
1777887595.7259,44,44,48,42,42,42,43,45,45,44,43,46
1777887595.9262,44,44,48,42,42,42,43,45,45,44,43,46
1777887596.1264,44,44,48,42,42,42,43,45,45,44,43,46
1777887596.3269,44,44,48,42,42,42,43,45,45,44,43,46
1777887596.5274,44,44,48,42,42,42,43,45,45,44,44,46
1777887596.7277,44,44,48,42,42,42,43,45,45,44,43,46
1777887596.9284,44,44,48,42,42,42,43,45,45,43,43,46
1777887597.1288,44,44,48,42,42,42,43,45,45,44,43,46
1777887597.3292,44,44,48,42,42,42,43,45,45,44,43,46
1777887597.5295,44,44,48,42,42,42,43,45,45,44,43,46
1777887597.7298,44,44,48,42,42,42,43,45,45,44,43,46
1777887597.9301,44,44,48,42,42,42,43,45,45,44,44,46
1777887598.1303,44,44,48,42,42,42,43,45,45,44,44,46
1777887598.3306,44,44,48,42,42,42,43,45,45,44,43,46
1777887598.5308,44,44,48,42,42,42,43,45,45,44,43,46
1777887598.7314,44,44,48,42,42,42,43,45,45,44,44,46
1777887598.9317,44,44,48,42,42,42,43,45,45,44,43,46
1777887599.1319,44,44,48,42,42,42,43,45,45,43,44,46
1777887599.3323,44,44,48,42,42,42,43,45,45,44,44,46
1777887599.5325,44,44,48,42,42,42,43,45,45,44,44,46
1777887599.7328,44,44,48,42,43,42,43,45,45,44,44,46
1777887599.9330,44,44,48,42,42,42,43,45,45,44,44,46
1777887600.1333,44,44,48,42,42,42,43,45,45,44,44,46
1777887600.3335,44,44,48,42,42,42,43,45,45,44,44,46
1777887600.5338,44,44,48,42,42,42,43,45,45,44,44,46
1777887600.7341,44,44,48,42,42,42,43,45,45,44,44,46
1777887600.9344,44,44,48,42,42,42,43,45,45,44,44,46
1777887601.1348,44,44,48,42,42,42,43,45,45,44,44,46
1777887601.3351,44,44,48,42,42,42,43,45,45,44,44,46
1777887601.5354,44,44,48,42,42,42,43,45,45,44,44,46
1777887601.7356,44,44,48,42,42,42,43,45,45,44,44,46
1777887601.9359,44,44,48,42,43,42,43,45,45,44,44,46
1777887602.1361,44,44,48,42,43,42,43,45,45,44,44,46
1777887602.3364,44,44,48,42,42,42,43,45,45,44,44,46
1777887602.5367,44,44,48,42,42,42,43,45,45,44,44,46
1777887602.7370,45,44,48,42,42,42,43,45,45,43,44,46
1777887602.9372,44,44,48,42,42,42,43,45,45,44,44,46
1777887603.1373,44,44,48,42,42,42,43,45,45,44,44,46
1777887603.3376,44,44,48,42,42,42,43,45,45,44,44,46
1777887603.5379,44,44,48,42,43,42,43,45,45,44,44,46
1777887603.7382,44,44,49,42,43,42,43,45,45,44,44,46
1777887603.9386,44,44,49,42,42,42,43,45,45,44,44,46
1777887604.1389,44,44,49,42,43,42,43,45,45,44,44,46
1777887604.3391,44,44,49,42,43,42,43,45,45,44,44,46
1777887604.5395,44,44,49,42,42,42,43,45,45,44,44,46
1777887604.7403,44,44,49,42,42,42,43,45,45,44,44,46
1777887604.9406,44,44,49,42,43,42,43,45,45,44,44,46
1777887605.1409,44,44,49,42,43,42,43,45,45,44,44,46
1777887605.3412,45,44,49,42,43,42,43,45,45,44,44,46
1777887605.5415,44,44,49,42,43,42,43,45,45,44,44,46
1777887605.7417,44,44,49,42,42,42,43,45,45,44,44,46
1777887605.9423,44,44,49,42,43,42,43,45,45,44,44,46
1777887606.1427,45,44,49,42,43,42,43,45,45,44,44,46
1777887606.3429,44,44,49,42,42,42,43,45,45,44,44,46
1777887606.5432,45,44,49,42,42,42,43,45,45,44,44,46
1777887606.7435,45,44,49,42,42,42,43,45,45,44,44,46
1777887606.9438,44,44,49,42,43,42,43,45,45,44,44,46
1777887607.1441,44,44,49,42,43,42,43,45,45,44,44,46
1777887607.3443,44,44,49,42,42,42,43,45,45,44,44,46
1777887607.5446,44,44,49,42,43,42,43,45,45,44,44,46
1777887607.7449,44,44,49,42,43,42,43,45,45,44,44,46
1777887607.9452,44,44,49,42,43,42,43,45,45,44,44,46
1777887608.1455,44,44,49,42,43,42,43,45,45,44,44,46
1777887608.3457,44,44,49,42,43,42,43,45,45,44,44,46
1777887608.5460,45,44,49,42,43,42,43,45,45,44,44,46
1777887608.7463,45,44,49,42,43,42,43,45,45,44,44,46
1777887608.9466,44,44,49,42,43,42,43,45,46,44,44,46
1777887609.1468,45,44,50,42,42,42,43,45,45,44,44,47
1777887609.3473,44,44,50,42,43,42,43,45,45,44,44,47
1777887609.5480,45,44,49,42,43,42,43,45,46,44,44,47
1777887609.7502,45,44,50,42,43,42,43,45,45,44,44,47
1777887609.9505,45,44,50,42,43,42,43,45,46,44,44,47
1777887610.1509,45,44,50,42,42,42,43,45,46,44,44,47
